rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-2262-org,   jayden, coulson, 37, ligar place, , scotland island, 2097, nsw, 19981015, 6, 02 09317126, 2781394, 8
rec-98-org,   henry, , 19, hobart place, terra nostra, allambie heights, 2606, wa, 19930809, 21, , 7265340, 7
rec-7776-org,   brandon, zaikos, 4149, wallaroo road, , port macquarie, 3153, , 19910910, 33, 04 02491365, 9848221, 3
rec-1790-org,   gemaley, rees, 34, messenger street, , tottenham, 4519, , 19911231, 24, 08 34819910, 1584690, 2
rec-2786-org,   nathan, spratt, 19, pridham street, , lismore, 2197, vic, 19921119, , 08 65255096, 7746233, 9
rec-6359-org,   michael, riddoch, 570, jerrabomberra avenue, wee wilbertree, rose bay, 6258, , 19971121, 33, 08 48178022, 6530829, 6
rec-8156-org,   mitchell, shepherd, 6, langdon avenue, , hackham, 2710, qld, 19941007, , 04 23627505, 7112582, 3
rec-6860-org,   bailee, richmond, 15, daley crescent, , malvern, 2765, qld, 19910130, 28, 03 96468723, 9401769, 6
rec-8235-dup-2, mia, leane, 79, noarlunga crescent, gold tyne, corrimal, 5556, nsw, , 29, 03 04433079, 4445662, 0
rec-3176-org,   sarah, everett, 103, barlow street, , roebuck, 4569, qld, 19920206, 27, 02 52072173, 4393401, 5
rec-1721-org,   harrison, mercorella, 14, bremer street, calala farm, applecross, 6020, nsw, 19941223, 26, 04 47435555, 4418884, 4
rec-4818-org,   joel, mesecke, 195, macrossan crescent, , collie, 5127, vic, 19920820, 27, 07 66195536, 4516836, 1
rec-7447-org,   aidan, du, 5, lawrence crescent, , naracoorte, 2151, sa, , 27, 04 37408744, 9876733, 1
rec-8330-org,   briley, shepherd, 21, dalrymple street, , moorooka, 2170, qld, 19980221, , 07 12578880, 7476902, 6
rec-7773-org,   ryan, hindley, 5, bimberi crescent, brae view, athlone, 7270, nsw, 19950207, 31, 04 67323628, 6213699, 0
rec-3660-dup-0, thomas, ngundn, 76, grimshaw street, , belbora, 3555, qld, 19990820, 37, 02 98772639, 3977673, 1
rec-1703-org,   connor, green, 18, la perouse street, talara, boronia heights, 4551, , 19990609, 27, 08 09566476, 1734296, 0
rec-2408-org,   alisha, caruana, , deacon close, , hadspen, 2463, vic, 19960302, 22, 04 40789268, 4849869, 8
rec-550-org,   jaxson, afford, 32, lewis luxton avenue, willsburn, tweed heads, 3824, , 19990509, 25, 03 70205159, 5231423, 0
